"url","name","topics","skills","type","description"
"https://www.edx.org/professional-certificate/linuxfoundationx-5g-strategy-for-business-leaders","5G Strategy for Business Leaders Professional Certificate | edX","['Business & Management Courses', ""LinuxFoundationX's 5G Strategy for Business Leaders"", 'Business & Management', '5G Strategy for Business Leaders']","[]","ProfessionalCert","Discern between the hype and real opportunities of 5G technologies\nUnderstand how 5G will impact your business\nDiscover which open source technologies and standards are driving innovation for 5G and the technologies it will enable, namely AI and IoT\nLearn what use cases apply to your business for optimizing customer experience and hyper personalization and for improving operational efficiency and scalability\nDiscuss the first steps you can take to build and execute a transition strategy that prepares your business for the 5G future\n"
"https://www.edx.org/professional-certificate/hkux-advanced-cardiac-imaging","Advanced Cardiac Imaging Professional Certificate | edX","['Medicine Courses', ""HKUx's Advanced Cardiac Imaging"", 'Medicine', 'Advanced Cardiac Imaging']","[]","ProfessionalCert","Role of cardiac CT and cardiac MRI in the assessment of cardiac disease.\nUnderstand and describe the process of cardiac CT and cardiac MRI image acquisition.\nAble to perform basic interpretation and identification of disease as seen on cardiac CT and cardiac MRI.\nState the future developments in the field of cardiac MRI and CT.\n"
"https://www.edx.org/professional-certificate/umd-usmx-agile-project-management","Agile Project Management Professional Certificate | edX","['Engineering Courses', ""USMx and UMD's Agile Project Management"", 'Engineering', 'Agile Project Management']","[]","ProfessionalCert","Learn Scrum mechanics and how to translate other Agile frameworks such as SAFe, Disciplined, and LeSS\nGain a deep understanding of Agile principles and how to apply them in any industry, with case studies in Software, Aerospace, Finance, and Construction\nReduce risk of project failure by adopting agile results-based controls to close projects more effectively\nIncrease speed using lean / agile work management techniques proven to deliver faster\nImprove project benefits with innovation and leadership approaches that unlock your teamâs potential\n"
"https://www.edx.org/professional-certificate/uncordobax-agricultura-de-bajo-impacto-ambiental","Agricultura de bajo impacto ambiental Professional Certificate | edX","['Biology & Life Sciences Courses', ""UNCordobaX's Agricultura de bajo impacto ambiental"", 'Biology & Life Sciences', 'Agricultura de bajo impacto ambiental']","[]","ProfessionalCert","A desarrollar capacidades, habilidades y competencias necesarias para la producciÃ³n agrÃ­cola con bajo impacto ambiental o con impactos positivos.\nAl adquirir todas estas habilidades y destrezas, el estudiante podrÃ¡ formar criterio para seleccionar las mejores prÃ¡cticas de manejo y gestiÃ³n de los agroecosistemas.\nEl estudiante podrÃ¡ desenvolverse de manera adecuada y ser tomador de decisiones de manejo, gestiÃ³n, y desarrollo de polÃ­ticas de producciÃ³n tanto a escala predial como regional.\n"
"https://www.edx.org/professional-certificate/ubcx-implementation-strategies-for-business","AI and Cloud Computing: Implementation Strategies for Business Professional Certificate | edX","['Business & Management Courses', ""UBCx's AI and Cloud Computing: Implementation Strategies for Business"", 'Business & Management', 'AI and Cloud Computing: Implementation Strategies for Business']","[]","ProfessionalCert","Gain a high-level understanding of emerging technologies in the context of enterprise architecture.\nIdentify and appraise key technology vendors and proposed standards and frameworks, in accordance with your organizationâs specific needs.\nCommunicate fluently on the topics of Cloud Computing and AI, and actively participate in technology discussions using appropriate technical language and terminology.\nEvaluate the risks and benefits of adopting various emerging technologies, and be equipped with the tools and information to make effective business-driven technical decisions.\nThrough collaborative exercises, solve real-world problems and gain a more in-depth understanding of your own specific enterprise environment.\n"
"https://www.edx.org/professional-certificate/babsonx-ai-and-data-analytics-for-business-leaders","AI and Data Analytics for Business Leaders Professional Certificate | edX","['Business & Management Courses', ""BabsonX's AI and Data Analytics for Business Leaders"", 'Business & Management', 'AI and Data Analytics for Business Leaders']","[]","ProfessionalCert","How platform business models and AI technologies complement each other.\nWhere to look for data and what data is valuable to your business and AI.\nThe 7 attributes of AI-led organizations.\nVariability in the real world and implications for decision making.\nMaking effective decisions from no data to big data (what should we collect and then what do we do with all this data?).\n"
"https://www.edx.org/professional-certificate/delftx-ai-in-practice","AI in Practice Professional Certificate | edX","['Business & Management Courses', ""DelftX's AI in Practice"", 'Business & Management', 'AI in Practice']","[]","ProfessionalCert","Describe the benefits of implementing AI in organizations, in terms of context, problems, research approach and results.\nIdentify the implications of implementing AI in terms of improvement strategies for organizations in industry, academia and education.\nUnderstand the aspects of AI compliance and ethics and their significance for your own organization.\nCreate a plan for the application of AI in your own organization.\n"
"https://www.edx.org/professional-certificate/georgetownx-american-sign-language-science","American Sign Language Science Professional Certificate | edX","['Language Courses', ""GeorgetownX's American Sign Language Science"", 'Language', 'American Sign Language Science']","[]","ProfessionalCert","Identify the historical origins in natural gesture for the emergence of ASL grammar.\nDescribe the degree and types of structural variation within ASL, considering the possible influences from its contacts with other signed and spoken languages.\nDiscuss the role of visual analogy in learning ASL, considering the possible linguistic universals for signed languages.\nList ways in which language specific variation and historical change for signed languages may compare and contrast to those for spoken languages.\nDescribe the visual, motoric, and cognitive constraints which may give rise to these phenomena.\n"
"https://www.edx.org/professional-certificate/galileox-analisis-de-datos-para-la-toma-de-decisiones-empresariales","AnÃ¡lisis de datos para la toma de decisiones empresariales Professional Certificate | edX","['Data Science Courses', ""GalileoX's AnÃ¡lisis de datos para la toma de decisiones empresariales""]","[None, None, None, None, None]","ProfessionalCert","Fortalecer tus capacidad de anÃ¡lisis, interpretaciÃ³n, y manejo de informaciÃ³n para tomar decisiones empresariales y obtener mejores resultados\nRealizar un anÃ¡lisis aplicado de datos en Microsoft Excel e interpretar los resultados a travÃ©s de las diferentes grÃ¡ficas generadas\nAplicar la tÃ©cnica de anÃ¡lisis factorial para la segmentaciÃ³n de mercados\nComprender el anÃ¡lisis conjunto considerando caracterÃ­sticas multi atributos para diseÃ±ar productos\nInterpretar los fenÃ³menos que ocurren en las empresas y prever los que ocurrirÃ¡n para apoyar la gestiÃ³n general de esta, proporcionÃ¡ndole una ventaja competitiva\n"
"https://www.edx.org/professional-certificate/delftx-analisis-y-visualizacion-de-datos-con-excel","AnÃ¡lisis y VisualizaciÃ³n de Datos con Excel Professional Certificate | edX","['Data Science Courses', ""DelftX's AnÃ¡lisis y VisualizaciÃ³n de Datos con Excel""]","[None, None, None, None, None]","ProfessionalCert","Dominar las principales tareas del anÃ¡lisis de datos requerido por las organizaciones conducidas por los datos\nSuperar los desafÃ­os del anÃ¡lisis de datos aprendiendo tÃ©cnicas y mÃ©todos avanzados en Excel\nVisualizar datos y crear tableros en vivo que respondan a las preguntas de la organizaciÃ³n\nCÃ³mo obtener informaciÃ³n valiosa basada en los datos que pueda ser usada en la toma de decisiones dentro de una organizaciÃ³n\nImplementar herramientas y tÃ©cnicas de anÃ¡lisis de datos usadas para la toma de decisiones\nMaximizar los beneficios de las planillas de cÃ¡lculo para la visualizaciÃ³n y el anÃ¡lisis de datos\n"
